Epoch,Training IoU,Validation IoU
1,0.9106083233635147,0.9613691631116366
2,0.9594582117997207,0.9626227021217346
3,0.9642232493920759,0.9600381161037245
4,0.9618385751526077,0.9682803373587759
5,0.9641737992113287,0.9673639880983453
6,0.9679648674927749,0.9584413453152305
7,0.966912436794925,0.9696756099399767
8,0.9641612760432354,0.9584076530054996
9,0.9663733220719671,0.9688749219241896
10,0.9686303881855755,0.968927518317574
11,0.9669844539134533,0.9700909852981567
12,0.9670532787000978,0.9646966237770883
13,0.9633460230641551,0.9684618774213289
14,0.9667723325939922,0.9667211394560965
15,0.9677310268600265,0.9665894539732682
16,0.9679773751791422,0.9604168785245795
17,0.9676230325327291,0.9616879946307132
18,0.9690364939825875,0.9562545136401528
19,0.9700347069021943,0.9691252269242939
20,0.9685252850705927,0.9679159051493594
21,0.969448057087985,0.9656866663380673
22,0.9684270713236425,0.9654926908643622
23,0.9691815391763464,0.9696643321137679
24,0.9702032425186851,0.9637635914902938
25,0.9704038508526691,0.9712557353471455
26,0.9716444998592525,0.9712035781458804
27,0.9708957912085893,0.9695146240686116
28,0.9706387125052415,0.9713107378859269
29,0.9684188505271812,0.9681787522215592
30,0.9650611474916533,0.9701898568554929
