Epoch,Training IoU,Validation IoU
1,0.9208889659245809,0.9529771596193314
2,0.9486026040712993,0.9562006711959838
3,0.9620530160268148,0.9671959459781647
4,0.917139591773351,0.9544663041830063
5,0.95055881579717,0.9571454972028732
6,0.9508447853724161,0.9619291961193085
7,0.9519342390696207,0.9593258231878281
8,0.956109173297882,0.9612157076597214
9,0.9543764662742614,0.9608443737030029
10,0.9519419956207276,0.9589975297451019
11,0.9605479152997335,0.9597074091434479
12,0.9633069332440695,0.9614632189273834
13,0.9648506999015808,0.9690050631761551
14,0.9666994285583496,0.9633991420269012
15,0.9672103476524353,0.966161721944809
16,0.9571276386578877,0.9521936923265457
17,0.9536625067392985,0.9564851343631744
18,0.9534289463361104,0.9582355856895447
19,0.9563592036565145,0.9586998462677002
20,0.9581192604700725,0.9593804240226745
21,0.9600901381174723,0.9623285204172134
22,0.9632026100158692,0.9633700966835022
23,0.9637401485443116,0.9671563655138016
24,0.9562861545880635,0.9478860765695571
25,0.953582333723704,0.9558883309364319
26,0.9565136273701985,0.960673576593399
27,0.9579429340362549,0.9569875627756119
28,0.9596537454922994,0.9621691435575486
29,0.9600881139437357,0.9625883132219315
30,0.9620302867889404,0.9627911359071731
