Epoch,Training IoU,Validation IoU
1,0.935252844470821,0.9555021391974555
2,0.9631813829892302,0.96104939116372
3,0.9652291960912208,0.9622841543621488
4,0.9693065881729126,0.9580082959598966
5,0.9670644190213452,0.9652354419231415
6,0.9710573839814696,0.9665994048118591
7,0.9681252192144525,0.9631649818685319
8,0.9683088137678904,0.9689181844393412
9,0.9643444802663098,0.955755611260732
10,0.9667810503750631,0.9626583423879411
11,0.9697328560972867,0.9670892755190531
12,0.969804731133866,0.9630742867787679
13,0.9702196986707923,0.9667692383130392
14,0.9706377354386735,0.9690436588393317
15,0.970515687171727,0.9588567150963677
16,0.9706816665113789,0.9664221770233579
17,0.970530778577883,0.9587892923090193
18,0.9693180632917848,0.9637310769822862
19,0.9701847238083409,0.9702255129814148
20,0.9697421062482546,0.9678296314345466
21,0.9720086569655432,0.9695792926682366
22,0.9704989619451027,0.9701696700519986
23,0.9707276233255047,0.9677174852954017
24,0.9674580946360549,0.9663106832239363
25,0.9713899991283678,0.9653286536534628
26,0.9702787260486655,0.9623560607433319
27,0.9689774905165581,0.9657076034280989
28,0.9704522049590333,0.9684301747216119
29,0.9700028986147006,0.9673491683271196
30,0.9700842401752733,0.966732253630956
